1650,41
1651,40
1652,43
1653,42
1654,45
1655,45
1656,47
1657,45
1658,46
1659,46
1660,44
1661,38
1662,34
1663,32
1664,33
1665,32
1666,28
1667,25
1668,23
1669,22
1670,23
1671,25
1672,26
1673,29
1674,29
1675,30
1676,30
1677,29
1678,31
1679,30
1680,32
1681,34
1682,33
1683,33
1684,32
1685,30
1686,28
1687,30
1688,36
1689,35
1690,35
1691,30
1692,29
1693,29
1694,32
1695,34
1696,35
1697,31
1698,29
1699,28
1700,27
1701,31
1702,29
1703,36
1704,35
1705,37
1706,30
1707,32
1708,33
1709,37
1710,37
1711,33
1712,40
1713,43
1714,43
1715,42
1716,45
1717,44
1718,41
1719,45
1720,43
1721,40
1722,40
1723,44
1724,44
1725,44
1726,44
1727,44
1728,41
1729,45
1730,48
1731,47
1732,44
1733,38
1734,43
1735,39
1736,40
1737,38
1738,34
1739,37
1740,35
1741,33
1742,36
1743,32
1744,27
1745,29
1746,27
1747,30
1748,28
1749,31
1750,28
1751,28
1752,27
1753,28
1754,32
1755,30
1756,32
1757,30
1758,30
1759,26
1760,26
1761,23
1762,25
1763,27
1764,26
1765,25
1766,24
1767,22
1768,20
1769,20
1770,20
1771,21
1772,21
1773,26
1774,27
1775,30
1776,30
1777,34
1778,29
1779,30
1780,29
1781,31
1782,35
1783,34
1784,36
1785,37
1786,38
1787,31
1788,28
1789,27
1790,25
1791,27
1792,27
1793,32
1794,31
1795,26
1796,25
1797,28
1798,28
1799,30
1800,33
1801,31
1802,34
1803,29
1804,32
1805,31
1806,30
1807,30
1808,29
1809,33
1810,39
1811,41
1812,39
1813,37
1814,38
1815,34
1816,33
1817,32
1818,30
1819,33
1820,35
1821,37
1822,35
1823,36
1824,34
1825,33
1826,32
1827,32
1828,32
1829,35
1830,35
1831,36
1832,35
1833,31
1834,32
1835,31
1836,30
1837,32
1838,34
1839,37
1840,39
1841,40
1842,37
1843,39
1844,43
1845,37
1846,37
1847,36
1848,41
1849,44
1850,45
1851,44
1852,41
1853,43
1854,44
1855,38
1856,37
1857,33
1858,32
1859,31
1860,31
1861,30
1862,34
1863,36
1864,33
1865,32
1866,32
1867,27
1868,29
1869,30
1870,35
1871,40
1872,41
1873,44
1874,42
1875,36
1876,37
1877,35
1878,40
1879,40
1880,42
1881,45
1882,42
1883,39
1884,33
1885,35
1886,35
1887,39
1888,33
1889,33
1890,35
1891,31
1892,30
1893,26
1894,26
1895,26
1896,28
1897,27
1898,27
1899,27
1900,26
1901,30
1902,31
1903,30
1904,30
1905,33
1906,35
1907,32
1908,26
1909,30
1910,28
1911,29
1912,28
1913,27
1914,26
1915,29
1916,30
1917,30
1918,27
1919,30
1920,32
1921,33
1922,28
1923,29
1924,30
1925,29
1926,35
1927,34
1928,33
1929,31
1930,35
1931,28
1932,29
1933,26
1934,25
1935,28
1936,31
1937,29
1938,29
1939,30
1940,30
1941,30
1942,28
1943,29
1944,26
1945,25
1946,25
1947,25
1948,24
1949,24
1950,27
1951,30
1952,32
1953,29
1954,27
1955,28
1956,32
1957,33
1958,32
1959,28
1960,27
1961,26
1962,28
1963,26
1964,28
1965,29
1966,30
1967,30
1968,28
1969,29
1970,29
1971,25
1972,30
1973,29
1974,28
1975,28
1976,27
1977,27
1978,30
1979,30
1980,30
1981,30
1982,29
1983,34
1984,33
1985,35
1986,36
1987,31
1988,26
1989,26
1990,26
1991,28
1992,28
1993,28
1994,28
1995,29
1996,27
1997,27
1998,25
1999,26
2000,26
